0,why are american cars so bad,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.473, 'neu': 0.527, 'pos': 0.0, 'compound': -0.6696}
1,why are american egg shells white,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american houses made of wood,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american flags at half-staff today,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american flags at half staff,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are american cars so big,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are american flags half mast today,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are american alligators endangered,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why are american cars so ugly,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.6418}
9,why are american portions so big,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are american elections so long,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are american eggs white,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why are american egg yolks yellow,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why are american flags backwards,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why are american dates backwards,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why are american trains so slow,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why are american crocodiles endangered,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why are american teeth so white,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why are american voters so angry,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.6418}
19,why are american companies moving overseas,2016-04-27 21:43:43,why are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why american are white,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why american are rude,2016-04-27 21:43:43,why american are ,com.br,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
