0,why are american tourists so rude,2016-04-27 21:46:41,why are american tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
1,why are american tourists not allowed in cuba,2016-04-27 21:46:41,why are american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american tourists so loud,2016-04-27 21:46:41,why are american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:41,why are american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:41,why are tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:41,why are tourists american ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:41,why are tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:41,why are tourists american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:41,why american are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:41,why american are tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:41,why american are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:41,why american are tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:41,why american tourists are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:41,why american tourists are ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:41,why american tourists are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:41,why tourists are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:41,why tourists are american ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:41,why tourists are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:41,why tourists are american ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:41,why tourists american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:41,why tourists american are ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:41,why tourists american are ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american tourists not allowed in cuba,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american tourists so rude,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
2,why are american tourists so loud,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american tourists,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,are american tourists allowed in north korea,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,are american tourists allowed in cuba,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,are american tourists allowed in iran,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,are american tourists safe in mexico,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
8,are american tourists safe in israel,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
9,are american tourists welcome in cuba,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
10,are american tourists welcome in russian,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}
11,are american tourists safe in russia,2016-04-27 21:46:41,are why american tourists ,com.br,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
