0,american women's college,2016-04-27 21:45:37,american are why women ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,american women's services,2016-04-27 21:45:37,american are why women ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,american women's association,2016-04-27 21:45:37,american are why women ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,american women's club,2016-04-27 21:45:37,american are why women ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american women's bazaar,2016-04-27 21:45:37,american are why women ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,women's american football,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,women's american football top,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}
2,women's american ort,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,women's american football uk,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,women's american flag shirt,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,women's american football costume,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,women's american football jersey,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,women's american soccer,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,women's american basketball association,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,women's american flag shorts,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,women's american soccer team roster,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,women's american football underwear,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,women's american football fancy dress,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,women's american soccer league,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,women's american flag cowboy boots,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,women's american baseball league,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,women's american football jersey uk,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,women's american football team,2016-04-27 21:45:38,women why are american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,women's american football,2016-04-27 21:45:38,women are why american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,women's american football top,2016-04-27 21:45:38,women are why american ,co.in,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}
2,women's american ort,2016-04-27 21:45:38,women are why american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,women's american football uk,2016-04-27 21:45:38,women are why american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,women's american flag shirt,2016-04-27 21:45:38,women are why american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,women's american football costume,2016-04-27 21:45:38,women are why american ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
