0,why are american egg shells white,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american houses made of wood,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cars so bad,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.473, 'neu': 0.527, 'pos': 0.0, 'compound': -0.6696}
3,why are american eggs white,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american dates backwards,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are american cars so big,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are american teeth so white,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are american trains so slow,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why are american portions so big,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are american cars so ugly,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.6418}
10,why are american pacifiers so big,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are american comedians not funny,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.28, 'neu': 0.465, 'pos': 0.256, 'compound': -0.0531}
12,why are american pints smaller,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why are american eggs pure white,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why are american toilets different,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why are american houses so nice,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.5598}
16,why are american elections so expensive,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why are american males circumcised,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why are american so angry,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.515, 'neu': 0.485, 'pos': 0.0, 'compound': -0.6418}
19,why are american eggs so yellow,2016-04-27 21:43:46,why are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
